GameId,Week,Team,Opponent,Offense Plays,Offense Drives,Offense Ppa,Offense TotalPPA,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense LineYardsTotal,Offense SecondLevelYards,Offense SecondLevelYardsTotal,Offense OpenFieldYards,Offense OpenFieldYardsTotal,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Ppa,Offense RushingPlays TotalPPA,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Ppa,Offense PassingPlays TotalPPA,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Plays,Defense Drives,Defense Ppa,Defense TotalPPA,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense LineYardsTotal,Defense SecondLevelYards,Defense SecondLevelYardsTotal,Defense OpenFieldYards,Defense OpenFieldYardsTotal,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Ppa,Defense RushingPlays TotalPPA,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Ppa,Defense PassingPlays TotalPPA,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness,Points,Result
401403855,1,Arkansas,Cincinnati,70,12,0.22969447654043600,16.078613357830500,0.38571428571428600,1.3967158433089800,1,0.21428571428571400,3.0285714285714300,127,1.2857142857142900,54,1.5952380952381000,67,0.16181070659335700,0.4166666666666670,1.2678746451691700,0.377804520061336,0.3181818181818180,1.7648335522798400,0.09852901548123210,4.138218650211750,0.35714285714285700,1.1170621016695200,0.42644266812924300,11.940394707618800,0.42857142857142900,1.7462830203582900,73,13,0.2427224751656070,17.718740687089300,0.410958904109589,1.5335660964575200,1,0.10714285714285700,3.267857142857140,92,1.0357142857142900,29,1,28,0.12378809351999000,0.4583333333333330,1.2661889676597400,0.4710764879251920,0.32,2.2688532006514000,0.1557469159647480,4.360913647012930,0.42857142857142900,0.983519032386565,0.29684060089058600,13.357827040076400,0.4,1.900264139171480,31,1
401403869,2,Arkansas,South Carolina,85,12,0.1987208186442070,16.891269584757600,0.5529411764705880,0.8822183710457390,0.7647058823529410,0.14516129032258100,3.261290322580650,202,1.032258064516130,64,0.7741935483870970,48,0.1703206626131950,0.5714285714285710,0.8604082024603480,0.3312548801222620,0.4666666666666670,1.0068479058194000,0.19459750896021600,12.065045555533400,0.5483870967741940,0.9062994380109910,0.2098358273575720,4.826224029224150,0.5652173913043480,0.819237118982772,67,13,0.25531947137969300,17.10640458243950,0.44776119402985100,1.5925514049264800,0.5,0.2,3.144,79,1.08,27,0.4,10,-0.003984148736642210,0.45652173913043500,1.0266191451058900,0.8233178773488100,0.42857142857142900,2.9130600111745200,0.20534811472544000,5.133702868136000,0.52,0.9613121674454700,0.3458257917357620,14.178857461166300,0.4146341463414630,2.0752637630002000,44,1
401403881,3,Arkansas,Missouri State,65,12,0.4795680017012380,31.171920110580400,0.49230769230769200,1.6106204055680100,1,0.058823529411764700,3.2794117647058800,112,0.9705882352941180,33,1.9411764705882400,66,0.5355395907965450,0.5957446808510640,1.3543779330422000,0.3334199635079340,0.2222222222222220,3.404317713248720,0.23262099546705900,7.909113845880000,0.5294117647058820,0.9049883094749510,0.8242762553536640,24.72828766060990,0.4666666666666670,2.517861671973370,81,14,0.09019371706515140,7.305691082277270,0.35802469135802500,1.45056276602555,0.8,0.1111111111111110,3.0925925925925900,84,0.9629629629629630,26,0.5185185185185190,14,0.13116661404382300,0.45652173913043500,1.1600084106299400,0.036343623893183100,0.22857142857142900,2.2132679489390400,0.2290358418591620,6.18396773019738,0.4444444444444440,1.0821187841108300,0.14783358952347800,7.835180244744310,0.32075471698113200,1.710640870906530,38,1
401403893,4,Arkansas,Texas A&M,73,11,0.07979520432953350,5.8250499160559500,0.5205479452054790,1.052694668183010,1,0.1346153846153850,3.5576923076923100,185,1.3653846153846200,71,1.9230769230769200,100,0.0009713079743524130,0.6415094339622640,0.8160741905770750,0.28867852967076300,0.2,3.0639687278334800,-0.026794639522229100,-1.3933212551559100,0.5961538461538460,0.7522779687093050,0.3437319605338980,7.21837117121186,0.3333333333333330,2.383111480138,55,11,0.15460193727388500,8.503106550063650,0.36363636363636400,1.3398507542784300,0.5,0.1875,2.8625,92,1.1875,38,2.21875,71,0.02339362200013230,0.42424242424242400,1.0060885558465000,0.3514144101845130,0.2727272727272730,2.118629217286250,0.18313039872872800,5.860172759319300,0.40625,1.0721395647547800,0.11491016481497200,2.6429337907443500,0.30434782608695700,1.8370286776794800,21,0
401403902,5,Arkansas,Alabama,70,13,0.16294364183441500,11.406054928409000,0.42857142857142900,1.1377795395507200,0.6666666666666670,0.29545454545454500,2.768181818181820,122,1.2272727272727300,54,0.7727272727272730,34,0.04630608740348440,0.46938775510204100,0.8295253186952690,0.43509793550658500,0.3333333333333330,2.150614836647200,-0.04462703113117250,-1.9635893697715900,0.45454545454545500,0.6765869100655380,0.5142170883915620,13.369644298180600,0.38461538461538500,2.060164798521080,58,13,0.5604064468209970,32.50357391561780,0.46551724137931000,2.0404165037119600,0.75,0.2571428571428570,2.1542857142857100,75,1.0857142857142900,38,5.628571428571430,197,0.19833638853478800,0.4473684210526320,1.5222041872573500,1.2483395575648000,0.5,2.9213774416848000,0.6476673927411620,22.668358745940700,0.5142857142857140,1.7724597811309200,0.427618050855529,9.835215169677170,0.391304347826087,2.57632994887405,26,0
401403914,6,Arkansas,Mississippi State,57,10,0.21737899497345900,12.390602713487200,0.42105263157894700,1.5326858653348300,0.3333333333333330,0.15151515151515200,3.484848484848490,115,1.0303030303030300,34,1.7878787878787900,59,0.1299918748435080,0.45,1.3213408452947700,0.42299574822040400,0.35294117647058800,2.1667209254550300,0.12695766897869600,4.189603076296970,0.48484848484848500,1.0343661600062000,0.42419341864144100,9.756448628753150,0.34782608695652200,2.5293252759921000,73,10,0.4127532663154620,30.13098844102870,0.5753424657534250,1.0828920804597700,0.8571428571428570,0.03225806451612900,3.5,109,0.8709677419354840,27,0.6774193548387100,21,0.24008133161926600,0.559322033898305,0.85531040446815,1.140442133963720,0.6428571428571430,1.917358225762390,0.36340467515406200,11.265544929775900,0.6451612903225810,0.7853743847868960,0.4491772264584010,18.865443511252800,0.5238095238095240,1.3533627128896600,17,0
401403916,7,Arkansas,BYU,81,11,0.5326659854746840,43.145944823449400,0.5555555555555560,1.4163807955757900,0.4444444444444440,0.17073170731707300,3.75609756097561,154,1.3902439024390200,57,2.341463414634150,96,0.3330059331921970,0.55,1.176152789009740,1.1031232777103600,0.5714285714285710,2.0770078136324400,0.16148896807933300,6.62104769125264,0.5121951219512200,0.9032992850258420,0.9131224283049200,36.524897132196800,0.6,1.8653271173069900,69,12,0.37390806019041600,25.79965615313870,0.4927536231884060,1.415067607673760,1,0.2,3.19,96,1.1333333333333300,34,0.5666666666666670,17,0.29269132362657000,0.5531914893617020,1.17364242067302,0.5474165428495410,0.36363636363636400,2.1996994654261400,0.25070199700840600,7.52105991025219,0.5333333333333330,0.932375934204526,0.4686819549458080,18.27859624288650,0.46153846153846200,1.8441268729797400,52,1
401403927,9,Arkansas,Auburn,68,13,0.440772473965816,29.972528229675500,0.5,1.2610035758122300,1,0.1111111111111110,3.5733333333333300,161,1.3777777777777800,62,2.311111111111110,104,0.3727485523970320,0.5531914893617020,1.0835467089387400,0.5930164889054750,0.38095238095238100,1.837738393151050,0.38075333800719400,17.133900210323700,0.5111111111111110,1.0950520709042200,0.5582012182326860,12.838628019351800,0.4782608695652170,1.6079930860744200,65,12,0.23650500190304500,15.372825123697900,0.4153846153846150,1.365162730608510,1,0.17647058823529400,3.2705882352941200,111,1.147058823529410,39,1.7058823529411800,58,0.196402668737817,0.43902439024390200,1.1835563385091400,0.30501315439364400,0.375,1.7283755148072400,0.24495178935200100,8.328360837968040,0.4411764705882350,1.105510897052680,0.2272407834106420,7.044464285729910,0.3870967741935480,1.689727522553300,41,1
401403932,10,Arkansas,Liberty,78,13,0.1199662693199850,9.357369006958810,0.358974358974359,1.583742526666070,0.75,0.3684210526315790,2.2657894736842100,86,1.6052631578947400,61,1.2105263157894700,46,-0.029012808631899200,0.4222222222222220,1.2843703831990000,0.3231195574361900,0.2727272727272730,2.2157503850965600,-0.04097142339781870,-1.556914089117110,0.34210526315789500,1.1157753191508000,0.4133153348519710,15.705982724374900,0.39473684210526300,1.9893141065126400,63,13,0.026890597873738900,1.6941076660455500,0.3968253968253970,1.1903082809088700,0.3333333333333330,0.3235294117647060,2.402941176470590,82,0.7941176470588240,27,0.058823529411764700,2,-0.2398162011408260,0.38636363636363600,0.8516485242499540,0.6445273955916800,0.42105263157894700,1.9099602638090800,-0.26414563720220600,-8.980951664875010,0.4117647058823530,0.6175568760379060,0.5222732392658510,14.62365069944380,0.39285714285714300,1.919264614381020,19,0
401403939,11,Arkansas,LSU,67,13,-0.11934897354697500,-7.996381227647330,0.3582089552238810,1.049268875398540,0.625,0.2926829268292680,2.624390243902440,108,1.2439024390243900,51,0.3902439024390240,16,-0.337885178535008,0.36363636363636400,0.5624822936007830,0.2987202881692620,0.34782608695652200,2.0228420389940600,-0.05776107568799930,-2.36820410320797,0.4634146341463420,0.7936764802615640,-0.2164683509399750,-5.6281771244393600,0.19230769230769200,2.0205199769190600,65,14,-0.02795887569364500,-1.8173269200869200,0.3384615384615390,0.9865836839001700,0.8,0.13953488372093000,3.36046511627907,145,1.0465116279069800,45,1.5348837209302300,66,-0.03607745617704120,0.4444444444444440,0.8455791560222130,-0.009692069606003470,0.1,2.3966289626797400,0.18496277505814900,7.953399327500430,0.3953488372093020,0.9819453643790320,-0.44412392034487900,-9.770726247587350,0.22727272727272700,1.0023539702720400,10,0
